CODIGO_SCIAN,ANIO,H010B,H010C,I100B,I100C,H010D,I100D,J000A,O110A,M710B,M710C,M999A,M310B,M310C,K316B,K316C,K910A,K411A,K951A,K412A,K961A,K610A,K810A,K710A,K500A,K931A,K999A,Q100A,Q200A,Q300A,Q400A,Q900A,Q000B,Q000C,Q000D,ESTATUS
311513,2013,6041,1878,4198,1912,19997,15059,1077227,41247286,56372,0,442792,40861057,266819,17960551,821657,2460250,340995,369894,398698,469267,1139956,969816,44716,146314,23348,588720,6931156,1552050,568815,168719,428851,704214,667490,58236,Cifras definitivas
3116,2013,22791,15173,13522,6914,94128,49490,5660586,80726916,1133315,10348,6024691,76710470,4215159,51869592,3168596,1547667,1017254,808908,1205714,1215956,2417006,201250,50961,436189,54034,1731769,9712673,8234343,2346816,582769,835654,1720422,1697680,222827,Cifras definitivas
311611,2013,3281,997,8729,3960,10915,30493,500297,37293908,893255,0,134844,36174638,1314556,27683543,155532,517458,377382,431572,561973,162288,1365001,10016,31139,107379,765,631842,4378913,3622208,288973,113044,95103,523403,591125,86396,Cifras definitivas
311612,2013,3735,1465,3290,1583,12811,11954,568435,16147810,238040,10348,425680,13445072,2724406,9126723,1467147,333297,107476,119264,282960,196227,667773,16763,12425,63908,5555,327724,1539854,1884655,192332,130400,75428,319614,293068,55040,Cifras definitivas
311613,2013,15775,12711,1503,1371,70402,7043,4591854,27285198,2020,0,5464167,27090760,176197,15059326,1545917,696912,532396,258072,360781,857441,384232,174471,7397,264902,47714,772203,3793906,2727480,1865511,339325,665123,877405,813487,81391,Cifras definitivas
3117,2013,1676,812,2440,2750,6017,12801,250131,11341205,51792,4136,108229,9203510,1838308,5019983,334034,2004470,258647,158928,156464,140152,672631,7573,1229,48399,3511,371674,1755661,764750,140221,37406,54540,239332,154076,13623,Cifras definitivas
311710,2013,1676,812,2440,2750,6017,12801,250131,11341205,51792,4136,108229,9203510,1838308,5019983,334034,2004470,258647,158928,156464,140152,672631,7573,1229,48399,3511,371674,1755661,764750,140221,37406,54540,239332,154076,13623,Cifras definitivas
3118,2013,183569,113788,8185,4389,799953,31817,16439403,145406315,1122,0,1847924,139264697,5997348,55086297,765455,6666634,4718046,2698619,2168638,823045,2381507,383474,6572,3092914,50438,4395240,24307048,20151864,4584385,386304,1476997,4312861,1825232,99998,Cifras definitivas
311811,2013,14815,2119,32,72,43043,250,3864774,54873234,0,0,400710,52656276,2189465,13665058,244069,2084869,543054,960131,312958,167005,10033,10103,0,530754,2088,1997806,5314820,275036,1112336,77291,472568,940526,537754,32879,Cifras definitivas
311812,2013,89729,33494,0,0,302896,0,5401759,26521414,0,0,305063,26485463,0,12443523,94068,765638,748823,319788,403296,56619,0,31938,0,863474,0,950759,4276679,4493623,1337531,104238,484589,718168,413643,7892,Cifras definitivas
311820,2013,4343,3330,8153,4317,18980,31567,1050280,26305530,1122,0,637987,22460851,3807883,11949500,427318,3167320,383718,494195,283215,596733,2371474,299273,6572,162613,48350,749884,6436833,2355326,444593,196582,161366,836424,829724,59213,Cifras definitivas
311830,2013,74682,74845,0,0,435034,0,6122590,37706137,0,0,504164,37662107,0,17028216,0,648807,3042451,924505,1169169,2688,0,42160,0,1536073,0,696791,8278716,13027879,1689925,8193,358474,1817743,44111,14,Cifras definitivas
3119,2013,11795,4985,11996,5498,40626,45044,3241404,134331160,432797,585907,591386,117239239,15216553,35528158,3729056,7236729,1264221,1313192,946794,1719151,4425724,923063,660617,693685,415335,3467053,16411419,6308283,1664005,654922,629430,1657859,1793092,192925,Cifras definitivas
311910,2013,3427,2017,4840,1978,13076,19185,927023,63357445,0,522259,16015,59332858,1883707,11195212,609903,3289910,629628,548221,259405,291717,1357883,19682,41137,290374,4210,1224206,5137119,1767535,906661,101882,96336,492651,519067,117385,Cifras definitivas
311921,2013,328,72,520,115,1042,1608,37322,4576008,17682,49541,22966,3352337,1272213,3220624,0,22480,26163,23294,17183,29420,81927,903,2955,7024,0,81347,337762,206314,89824,17680,21331,56384,76844,4685,Cifras definitivas
311922,2013,306,179,328,143,1138,1262,61912,3580686,13182,0,7554,2997904,608630,1434137,421979,151747,29810,34041,19645,67594,91149,10096,0,26464,0,45533,829208,111944,79453,32722,32996,70241,146801,2781,Cifras definitivas
311923,2013,1403,459,291,109,4715,1003,315792,7779203,1972,0,31931,6338055,1436530,2103586,921283,1098426,118557,75274,65175,41783,53677,22430,21880,35639,947,275540,1774272,444333,65765,34023,101186,127689,112483,19273,Cifras definitivas
311930,2013,1340,435,3232,1925,4238,12067,462082,27622360,12737,14107,203534,22194821,6245400,6639611,572635,495900,214862,259781,189495,419421,1708671,263088,6090,149017,39648,353709,3578807,1428649,101157,197385,117884,306633,435530,18850,Cifras definitivas
311940,2013,2742,862,1422,446,8583,4798,784537,16373310,347237,0,122625,14596416,1168397,5595665,936104,1786744,123025,220613,187206,602917,657121,494830,542026,97488,305410,1133871,2436650,1442876,268008,197544,165608,363803,301426,10248,Cifras definitivas
311991,2013,353,111,288,198,1192,1083,157576,3518825,0,0,11882,3256427,276168,1605209,115500,127760,48396,28946,55727,138255,194457,94244,29154,22680,0,81127,436053,79451,23722,34303,23503,61613,20684,5605,Cifras definitivas
311992,2013,654,286,141,15,2239,414,265726,2672755,1532,0,43916,1588337,1098905,846004,70050,123435,29794,70797,105562,35880,26418,7445,15796,5091,64553,106487,1145086,499023,14322,7479,11733,81003,124331,3786,Cifras definitivas
